Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2004-08-19,2.484365701675415,2.576470064810986,2.3759192785245054,2.4759466409530924,897427216
2004-08-20,2.6816985607147217,2.7007631515270396,2.488327040389078,2.500953972188937,458857488
2004-08-23,2.708686113357544,2.8097046474911545,2.7000205627511846,2.7421113618796227,366857939
2004-08-24,2.5965259075164795,2.763156572795127,2.564338321983224,2.7542435834678933,306396159
2004-08-25,2.6245036125183105,2.6740232462171876,2.572013535527749,2.5987536874066035,184645512
2004-08-26,2.6717944145202637,2.672784641290399,2.5913258094246707,2.5985060200520667,142572401
2004-08-27,2.6282176971435547,2.6893740392176317,2.6168284296389035,2.676498720452853,124826132
2004-08-30,2.5257136821746826,2.611876683558067,2.5257136821746826,2.606676452461377,104429967
2004-08-31,2.5346267223358154,2.5678042938447003,2.529427439659292,2.532893944123295,98825037
2004-09-01,2.4821367263793945,2.5494823351983573,2.467776068748134,2.542797238250835,183633734
2004-09-02,2.513333320617676,2.5346267499523027,2.449701418824506,2.4558916392933487,303810504
2004-09-03,2.476194143295288,2.5190286814604987,2.4591107163056503,2.499468976426108,103538639
2004-09-07,2.5150671005249023,2.52546637822224,2.466291200798872,2.5009541167346323,117506800
2004-09-08,2.5328943729400635,2.5509689758174785,2.488327290808092,2.4942688889976505,100186120
2004-09-09,2.533141613006592,2.5430448289040397,2.5007065900604486,2.5385883343482356,81620792
2004-09-10,2.607915163040161,2.6383692589933894,2.508134288267114,2.515562174355649,174804764
2004-09-13,2.6616427898406982,2.6841738853105164,2.63589286487101,2.640101921132566,157628624
2004-09-14,2.7604339122772217,2.7730608451582306,2.6440635338145344,2.660405357940699,217608605
2004-09-15,2.7730605602264404,2.8282743522099554,2.728493483342906,2.7374074201410687,215279909
2004-09-16,2.821836471557617,2.8671461002413072,2.7643950245980706,2.781478450653621,186207345
2004-09-17,2.9089903831481934,2.9089903831481934,2.811437406306183,2.8329782746106806,190350817
2004-09-20,2.9552903175354004,3.010751548991273,2.8911635353005254,2.8956200297838026,213585582
2004-09-21,2.917656183242798,2.9815355310381904,2.909485745369264,2.9664323203210183,145262446
2004-09-22,2.931025266647339,2.962965410196633,2.89215329924145,2.9067616315567317,152344894
2004-09-23,2.9914393424987793,3.0362538559496777,2.89735263632923,2.9424157730017293,171524515
2004-09-24,2.9669272899627686,3.0726497598598432,2.965194511602928,2.9944097567546373,183336625
2004-09-27,2.9280552864074707,2.992924620152631,2.916666019498239,2.9602419225683407,141994242
2004-09-28,3.140986442565918,3.1543559257072684,2.9763362413687715,3.0033238308820787,340190355
2004-09-29,3.245471477508545,3.3430235065748737,3.125388116324016,3.1370250581603543,613229953
2004-09-30,3.208827495574951,3.275678236281355,3.1939717227491333,3.2162553819878603,276468402
2004-10-01,3.2826108932495117,3.3237114682653224,3.1914953317983623,3.2385386897540127,303934969
2004-10-04,3.3440134525299072,3.388828203978497,3.318511203498428,3.3487185700742654,261693228
2004-10-05,3.4259674549102783,3.429928835930762,3.2741925710039115,3.3341105327740657,300887589
2004-10-06,3.3940281867980957,3.427948547996708,3.367288272942747,3.4056651284440846,268900140
2004-10-07,3.437851905822754,3.463354392837737,3.3809053341591366,3.390066946370586,283643194
2004-10-08,3.4101216793060303,3.4584026989821943,3.392542191942092,3.4346339389409404,222442656
2004-10-11,3.348966360092163,3.438100758987307,3.3140550573529626,3.3920473897502177,210437827
2004-10-12,3.401951313018799,3.4071503590584555,3.302912993707751,3.3286629188070624,234419380
2004-10-13,3.4886090755462646,3.5542221436077517,3.468306820391979,3.548526799323868,397203256
2004-10-14,3.5158441066741943,3.5252531567353445,3.4306725199610586,3.4913327953496256,209835578
2004-10-15,3.568086862564087,3.602503286502034,3.5146065587585764,3.5883900664551165,265150137
2004-10-18,3.693122386932373,3.694112376648186,3.496284369474603,3.545555614878301,282061287
2004-10-19,3.6629161834716797,3.7733437715605844,3.648308086820195,3.7263004150251224,363918964
2004-10-20,3.4784576892852783,3.6889135906345176,3.4564217064482166,3.665143881371502,456613107
2004-10-21,3.6985690593719482,3.7171385358444513,3.506435924937343,3.5752668728790584,585767401
2004-10-22,4.269276142120361,4.4609141925331555,4.062533932397497,4.222480456981978,1481207196
2004-10-25,4.639924049377441,4.813983528865633,4.272245624547061,4.367569994183461,1315480331
2004-10-26,4.5012712478637695,4.769663909900042,4.456703938289779,4.613679274429997,895628499
2004-10-27,4.604518413543701,4.6924139465728025,4.500528497672189,4.524049817467886,536262538
2004-10-28,4.786005020141602,4.812992371363099,4.595357228225157,4.622097141276567,596097978
2004-10-29,4.7201457023620605,4.950655711880344,4.719155001543013,4.924410672527124,849672890
2004-11-01,4.853598594665527,4.894204054057743,4.735744071565811,4.79219552920722,490828877
2004-11-02,4.824878692626953,4.933324886940087,4.786996945687848,4.9216881808285695,455553149
2004-11-03,4.745647430419922,4.99150903393612,4.722868896127925,4.90683208192827,557630330
2004-11-04,4.573073387145996,4.714202728063407,4.53964837868041,4.665674037424935,578544429
2004-11-05,4.193016052246094,4.513651393350416,4.173209146267772,4.505728630959087,796297573
2004-11-08,4.27224588394165,4.343801973094828,4.194253557881547,4.232136723102093,449349985
2004-11-09,4.1769232749938965,4.337859548186047,4.091997932577661,4.3106242809731246,444226854
2004-11-10,4.156124591827393,4.271503790657838,4.118242846703057,4.225698809013241,427355853
2004-11-11,4.531478404998779,4.549552769942172,4.148944164671411,4.187569646638689,601666773
2004-11-12,4.506223201751709,4.699347276721687,4.392330063458576,4.586196926978588,672354740
